單字,字義,詞性,分類,重要性
Abandon,丟棄,動詞,多益,3
Ability,能力,名詞,多益,2
Access,通道/接近,名詞,托福,2
Advantage,優勢,名詞,雅思,2
Agreement,協議,名詞,多益,2
Analysis,分析,名詞,托福,3
Achieve,達成,動詞,多益,2
Acquire,獲得,動詞,托福,3
Adapt,適應,動詞,多益,2
Address,處理,動詞,多益,1
Advance,前進,動詞,多益,2
Advocate,主張,動詞,多益,3
Agree,同意,動詞,多益,1
Align,對齊,動詞,多益,2
Allow,允許,動詞,多益,1
Alter,改變,動詞,多益,2
Activate,啟動,動詞,多益,2
Adaptation,適應,名詞,多益,2
Admission,入場/許可,名詞,多益,2
Affirm,確認,動詞,多益,2
Alleviate,減輕,動詞,多益,3
Allocate,分配,動詞,多益,2
Ambition,抱負,名詞,多益,2
Appoint,任命,動詞,多益,2
Assemble,集合,動詞,多益,2
Announce,宣布,動詞,多益,1
Answer,回答,動詞,多益,1
Anticipate,預期,動詞,多益,2
Apply,應用,動詞,多益,1
Appreciate,感激,動詞,多益,1
Approve,批准,動詞,多益,2
Arrange,安排,動詞,多益,1
Arrive,到達,動詞,多益,1
Assist,協助,動詞,多益,1
Assume,假設,動詞,多益,2
Assure,保證,動詞,多益,1
Attach,附加,動詞,多益,2
Attempt,嘗試,動詞,多益,1
Attend,參加,動詞,多益,1
Attract,吸引,動詞,多益,2
Avoid,避免,動詞,多益,1
Abate,減弱,動詞,多益,3
Abundant,豐富的,形容詞,多益,2
Abruptly,突然地,副詞,多益,3
Absorb,吸收,動詞,多益,2
Abstract,抽象的,形容詞,多益,2
Absurd,荒謬的,形容詞,多益,3
Abundance,豐富,名詞,多益,2
Accelerate,加速,動詞,多益,3
Aspire,渴望,動詞,多益,2
Astound,使震驚,動詞,多益,1
Ample,充足的,形容詞,多益,1
Accessible,可接近的,形容詞,多益,2
Accomplish,完成,動詞,多益,3
Account,帳戶,名詞,多益,2
Accumulate,累積,動詞,多益,3
Accurate,精準的,形容詞,多益,2
Accurately,精確地,副詞,多益,2
Achievement,成就,名詞,多益,3
Adequate,足夠的,形容詞,多益,2
Adjust,調整,動詞,多益,2
Analyze,分析,動詞,托福,3
Active,活躍的,形容詞,多益,2
Actual,實際的,形容詞,雅思,2
Advanced,先進的,形容詞,雅思,3
Aware,意識到的,形容詞,多益,2
Absolutely,絕對地,副詞,雅思,2
Accordingly,因此,副詞,托福,3
Actually,實際上,副詞,多益,2
Adequately,足夠地,副詞,托福,3
Apparently,顯然地,副詞,雅思,2
Balance,平衡,名詞,多益,2
Benefit,利益,名詞,雅思,2
Budget,預算,名詞,多益,2
Barrier,障礙,名詞,托福,3
Basis,基礎,名詞,雅思,2
Banish,驅逐,動詞,多益,3
Bargain,討價還價,動詞,多益,2
Behavior,行為,名詞,多益,2
Belittle,輕視,動詞,多益,3
Beneficial,有益的,形容詞,多益,2
Besiege,圍攻,動詞,多益,3
Bestow,授予,動詞,多益,3
Betray,背叛,動詞,多益,3
Bias,偏見,名詞,多益,3
Bid,出價,動詞,多益,2
Bilateral,雙邊的,形容詞,多益,2
Billow,翻騰,動詞,多益,3
Bizarre,奇異的,形容詞,多益,2
Blunt,直言不諱的,形容詞,多益,2
Boast,誇耀,動詞,多益,2
Boldly,大膽地,副詞,多益,3
Bonus,獎金,名詞,多益,2
Baffle,使困惑,動詞,多益,1
Blissful,幸福的,形容詞,多益,2
Breakthrough,突破,名詞,多益,3
Bear,承受,動詞,托福,3
Behave,表現,動詞,雅思,2
Boost,促進,動詞,多益,2
Basic,基本的,形容詞,雅思,2
Broad,寬廣的,形容詞,雅思,2
Brief,簡短的,形容詞,多益,2
Busy,忙碌的,形容詞,多益,2
Barely,幾乎不,副詞,托福,3
Briefly,簡要地,副詞,雅思,2
Broadly,大體上,副詞,雅思,2
Badly,差勁地,副詞,多益,2
Basically,基本上,副詞,雅思,2
Capacity,容量,名詞,托福,3
Challenge,挑戰,名詞,雅思,2
Career,職業,名詞,多益,2
Concept,概念,名詞,托福,3
Culture,文化,名詞,雅思,2
Calculate,計算,動詞,托福,3
Campaign,活動/競選,名詞,多益,2
Candidate,候選人,名詞,多益,2
Capitalize,利用,動詞,多益,3
Capture,俘虜/捕獲,動詞,多益,2
Catalyst,催化劑,名詞,多益,3
Categorize,分類,動詞,多益,2
Cautious,謹慎的,形容詞,多益,2
Cease,停止,動詞,多益,2
Confer,商議,動詞,多益,2
Commend,稱讚,動詞,多益,2
Courageous,勇敢的,形容詞,多益,3
Celebrate,慶祝,動詞,多益,1
Census,人口普查,名詞,多益,2
Certify,證明,動詞,多益,2
Champion,擁護,動詞,多益,3
Chaos,混亂,名詞,多益,3
Charitable,慈善的,形容詞,多益,2
Clarify,澄清,動詞,多益,2
Cleverly,聰明地,副詞,多益,2
Collaborate,合作,動詞,多益,2
Change,改變,動詞,多益,2
Choose,選擇,動詞,多益,2
Communicate,溝通,動詞,雅思,2
Capable,有能力的,形容詞,托福,3
Central,中心的,形容詞,雅思,2
Common,常見的,形容詞,多益,2
Complex,複雜的,形容詞,托福,3
Creative,有創造力的,形容詞,雅思,2
Carefully,小心地,副詞,多益,2
Certainly,當然地,副詞,雅思,2
Completely,完全地,副詞,多益,2
Consequently,因此,副詞,托福,3
Currently,目前,副詞,多益,2
Data,數據,名詞,托福,3
Decision,決定,名詞,多益,2
Demand,需求,名詞,雅思,2
Development,發展,名詞,托福,3
Distribution,分配,名詞,托福,3
Decide,決定,動詞,多益,2
Define,定義,動詞,托福,3
Deliver,遞送,動詞,多益,2
Demonstrate,演示,動詞,托福,3
Develop,發展,動詞,多益,2
Damage,損害,名詞,多益,2
Dampen,使沮喪/使潮濕,動詞,多益,3
Debrief,任務總結,動詞,多益,2
Decelerate,減速,動詞,多益,3
Decisive,果斷的,形容詞,多益,2
Declare,宣布,動詞,多益,2
Decline,下降/拒絕,動詞,多益,2
Dedicate,奉獻,動詞,多益,2
Dazzle,使目眩,動詞,多益,2
Devoted,忠誠的,形容詞,多益,3
Default,違約/默認,名詞,多益,3
Defective,有瑕疵的,形容詞,多益,2
